wavelength,mm_cm_2
3633.0,1.9939571644568185e-08
3634.0,1.995788970055933e-08
3635.0,1.9975606068579966e-08
3636.0,1.999546177160687e-08
3637.0,2.0014782640882195e-08
3638.0,2.0032599290231256e-08
3639.0,2.005596483975281e-08
3640.0,2.0073748061992393e-08
3641.0,2.0091698419779336e-08
3642.0,2.0110451028193628e-08
3643.0,2.0128568521527942e-08
3644.0,2.014708714017593e-08
3645.0,2.0164937216634455e-08
3646.0,2.0183388981063494e-08
3647.0,2.0201773891273576e-08
3648.0,2.021979110327948e-08
3649.0,2.023827629481799e-08
3650.0,2.025803171651647e-08
3651.0,2.027728573157286e-08
3652.0,2.029526951646927e-08
3653.0,2.031823394067716e-08
3654.0,2.0336418288230415e-08
3655.0,2.0354769771331037e-08
3656.0,2.03728204104464e-08
3657.0,2.0391004757999645e-08
3658.0,2.0412498389390728e-08
3659.0,2.0435128542503882e-08
3660.0,2.0453613734042393e-08
3661.0,2.0474171406368222e-08
3662.0,2.0492389181030943e-08
3663.0,2.0511041508116828e-08
3664.0,2.052939299121745e-08
3665.0,2.0549215267134875e-08
3666.0,2.0567533323126025e-08
3667.0,2.0585851379117162e-08
3668.0,2.0609216928638727e-08
3669.0,2.0627802401505655e-08
3670.0,2.064618731171575e-08
3671.0,2.066510705567741e-08
3672.0,2.0686266415973744e-08
3673.0,2.07045844719649e-08
3674.0,2.0723002809284468e-08
3675.0,2.074152142793245e-08
3676.0,2.0760140327908854e-08
3677.0,2.077855866522841e-08
3678.0,2.0800286286385806e-08
3679.0,2.0819038894800098e-08
3680.0,2.083829290985649e-08
3681.0,2.0856778101395e-08
3682.0,2.0875263292933505e-08
3683.0,2.0893949047128862e-08
3684.0,2.0913838177265235e-08
3685.0,2.093559922553209e-08
3686.0,2.0954218125508492e-08
3687.0,2.0973004161032253e-08
3688.0,2.099168991522761e-08
3689.0,2.1011077638721893e-08
3690.0,2.103009766401197e-08
3691.0,2.1048749991097848e-08
3692.0,2.106750259951215e-08
3693.0,2.108712431277273e-08
3694.0,2.1106545463376486e-08
3695.0,2.112586633265182e-08
3696.0,2.1145989452554503e-08
3697.0,2.1164742060968805e-08
3698.0,2.1183528096492565e-08
3699.0,2.1202347559125805e-08
3700.0,2.1221233875977995e-08
3701.0,2.124035418259649e-08
3702.0,2.1259407634996053e-08
3703.0,2.1278862212709267e-08
3704.0,2.1298249936203547e-08
3705.0,2.131777136813572e-08
3706.0,2.1338496176008915e-08
3707.0,2.1357683336846365e-08
3708.0,2.1376636507917493e-08
3709.0,2.139589052297388e-08
3710.0,2.1414877121154485e-08
3711.0,2.1438142389347623e-08
3712.0,2.145716241463771e-08
3713.0,2.147621586703725e-08
3714.0,2.1495536736312583e-08
3715.0,2.151489103269739e-08
3716.0,2.1533977912206414e-08
3717.0,2.1553098218824923e-08
3718.0,2.157258622364761e-08
3719.0,2.1592341645346096e-08
3720.0,2.1612097067044577e-08
3721.0,2.163145136342938e-08
3722.0,2.1650671951376306e-08
3723.0,2.1669925966432688e-08
3724.0,2.1693993485253175e-08
3725.0,2.171328092741903e-08
3726.0,2.1732635223803842e-08
3727.0,2.1751922665969712e-08
3728.0,2.1771544379230294e-08
3729.0,2.1791466936476142e-08
3730.0,2.1812058035911443e-08
3731.0,2.1832481999799387e-08
3732.0,2.185193657751262e-08
3733.0,2.187185913475846e-08
3734.0,2.1891313712471683e-08
3735.0,2.191083514440385e-08
3736.0,2.1930690847430755e-08
3737.0,2.1951950489055526e-08
3738.0,2.1971572202316108e-08
3739.0,2.1991661895109317e-08
3740.0,2.2017233633856085e-08
3741.0,2.2039529515874507e-08
3742.0,2.205921808335405e-08
3743.0,2.208478982210081e-08
3744.0,2.210625002638241e-08
3745.0,2.2125938593861945e-08
3746.0,2.2145660588450954e-08
3747.0,2.2165382583039965e-08
3748.0,2.2185472275833174e-08
3749.0,2.220539483307902e-08
3750.0,2.222585222407643e-08
3751.0,2.224567449999386e-08
3752.0,2.2265530203020762e-08
3753.0,2.2285452760266607e-08
3754.0,2.2307280662752412e-08
3755.0,2.23301113785224e-08
3756.0,2.235103674905243e-08
3757.0,2.2371159868955113e-08
3758.0,2.2391182707529374e-08
3759.0,2.2411539817198373e-08
3760.0,2.243156265577264e-08
3761.0,2.245161892145638e-08
3762.0,2.2471675187140114e-08
3763.0,2.2491831734152264e-08
3764.0,2.2511954854054958e-08
3765.0,2.253211140106711e-08
3766.0,2.2552301375188743e-08
3767.0,2.2573460735485088e-08
3768.0,2.259365070960671e-08
3769.0,2.2613907537947293e-08
3770.0,2.263416436628787e-08
3771.0,2.2654454621737914e-08
3772.0,2.2675045721173222e-08
3773.0,2.2695369403732733e-08
3774.0,2.2715826794730156e-08
3775.0,2.2737888686982266e-08
3776.0,2.2763293290181666e-08
3777.0,2.2784252087821175e-08
3778.0,2.2812431141106816e-08
3779.0,2.2834994440001032e-08
3780.0,2.285551868521739e-08
3781.0,2.2876042930433746e-08
3782.0,2.2896634029869054e-08
3783.0,2.291725855641382e-08
3784.0,2.293788308295861e-08
3785.0,2.29634213945959e-08
3786.0,2.2984079348250153e-08
3787.0,2.300530556276544e-08
3788.0,2.3026063797748098e-08
3789.0,2.3046822032730777e-08
3790.0,2.306761369482292e-08
3791.0,2.3088472211134006e-08
3792.0,2.3109330727445095e-08
3793.0,2.313028952508459e-08
3794.0,2.3151214895614636e-08
3795.0,2.3172173693254142e-08
3796.0,2.3200453027868213e-08
3797.0,2.3221478679726662e-08
3798.0,2.3242638040023e-08
3799.0,2.3266304433529818e-08
3800.0,2.3287396939607215e-08
3801.0,2.330902427943618e-08
3802.0,2.3330183639732522e-08
3803.0,2.3351409854247805e-08
3804.0,2.3372636068763104e-08
3805.0,2.3394330262811014e-08
3806.0,2.3415656758654723e-08
3807.0,2.343698325449843e-08
3808.0,2.3458577167217912e-08
3809.0,2.3480906476345816e-08
3810.0,2.3503068649926343e-08
3811.0,2.3524595708426895e-08
3812.0,2.354615619403691e-08
3813.0,2.3567716679646937e-08
3814.0,2.3591984761124254e-08
3815.0,2.3613812663610055e-08
3816.0,2.3636275681175842e-08
3817.0,2.3657969875223748e-08
3818.0,2.3679764350600088e-08
3819.0,2.3718673506026533e-08
3820.0,2.3740501408512334e-08
3821.0,2.37628641447497e-08
3822.0,2.3796057264456288e-08
3823.0,2.3818052302489463e-08
3824.0,2.384008076763209e-08
3825.0,2.3862142659884202e-08
3826.0,2.3885140511201556e-08
3827.0,2.3909241457131515e-08
3828.0,2.3931470484931e-08
3829.0,2.395396692960625e-08
3830.0,2.397626281162467e-08
3831.0,2.3999026673175716e-08
3832.0,2.402145626363203e-08
3833.0,2.4043919281197827e-08
3834.0,2.4066516007201495e-08
3835.0,2.4089079306095698e-08
3836.0,2.4111676032099376e-08
3837.0,2.413510843583988e-08
3838.0,2.4157905724500403e-08
3839.0,2.418197324332088e-08
3840.0,2.4204803959090867e-08
3841.0,2.4227701529079802e-08
